source	title	description	url	publishedAt	content
The Week Magazine	2024 Golden Globe nominations predictions: Will Barbenheimer dominate?	Plus: Which films will be nominated in a new category honoring blockbusters?	https://theweek.com/golden-globes-2024-predictions	2023-12-09T09:51:49Z	"The Barbenheimer
 awards season is about to begin in earnest. Nominations for the 2024 Golden Globe Awards will be unveiled on Dec. 11, and both ""Barbie"" and ""Oppenheimer
"" look set to clean up. Bu… [+10520 chars]"
Vanity Fair	Martin Scorsese Breaks Down the Cinematography of ‘Killers of the Flower Moon’	The legendary director and his longtime D.P., Rodrigo Prieto, reflect on the complex methods and fascinating inspirations behind five key scenes from Killers of the Flower Moon.	https://www.vanityfair.com/hollywood/2023/11/martin-scorsese-killers-of-the-flower-moon-shot-list-awards-insider	2023-11-20T18:04:49Z	Mollies family has been systematically murdered over the films first half, a process that culminates in the death of her last remaining sister, Reta (JaNae Collins). Her house is blown up in an attac… [+1896 chars]
Macdailynews.com	Apple Studios’ ‘Killers of the Flower Moon’ named best film of 2023 by New York film critics	"Apple Studios' “Killers of the Flower Moon,” directed by Martin Scorsese, has been named best film of the year by the New York Film Critics…
The post Apple Studios’ ‘Killers of the Flower Moon’ named best film of 2023 by New York film critics appeared first o…"	https://macdailynews.com/2023/11/30/apple-studios-killers-of-the-flower-moon-named-best-film-of-2023-by-new-york-film-critics/	2023-11-30T21:26:07Z	"Apple Studios’ Killers of the Flower Moon
Apple Studios’ Killers of the Flower Moon, directed by Martin Scorsese, has been named the best film of the year by the New York Film Critics Circle.
Jake … [+1436 chars]"
The A.V. Club	The week in entertainment news: Matthew Perry tributes, and Young Sheldon grows up	Over the past few days, the main cast of Friends have all posted individual tributes to late actor Matthew Perry, which have ranged from hilarious to heartbreaking and everything in between. These heartfelt messages come after a short silence while the cast “…	https://www.avclub.com/the-week-in-entertainment-news-matthew-perry-tributes-1851032495	2023-11-18T15:00:00Z	Over the past few days, the main cast of Friendshave all posted individual tributes to late actor Matthew Perry, which have ranged from hilarious to heartbreaking and everything in between. These hea… [+3492 chars]
TheWrap	‘Killers of the Flower Moon’ Named Best Film of 2023 by New York Film Critics Circle	"Christopher Nolan took Best Director for ""Oppenheimer""
The post ‘Killers of the Flower Moon’ Named Best Film of 2023 by New York Film Critics Circle appeared first on TheWrap."	http://www.thewrap.com/new-york-film-critics-circle-winners-list-2023/	2023-11-30T19:15:05Z	Martin Scorseses Killers of the Flower Moon took the top prize from the New York Film Critics Circle on Thursday, picking up the Best Film trophy while Christopher Nolan was named Best Director for O… [+443 chars]
Gizmodo.com	Destin Daniel Cretton Departs Marvel's Avengers: The Kang Dynasty	"Photo: Frazer Harrison (Getty Images)
With so many things in flux at Marvel Studios, there’s news from that Shang-Chi And the Legend of the The Ten Rings director Destin Daniel Cretton has departed the director’s chair of Marvel Studios’ Avengers: The Kang D…"	https://gizmodo.com/destin-daniel-cretton-departs-avengers-the-kang-dynasty-1851025565	2023-11-15T20:10:00Z	With so many things in flux at Marvel Studios, theres news thatShang-Chi And the Legend of the The Ten Rings director Destin Daniel Cretton has departed the directors chair of Marvel Studios Avengers… [+2040 chars]
The A.V. Club	Dakota Johnson suits up as clairvoyant Madame Web in the movie's first trailer	Get ready to spend Valentine’s Day with another promising female superhero team-up. On the heels of the MCU’s The Marvels, Sony has released a trailer for their upcoming Madame Web, starring Dakota Johnson. Lemons, Ellen DeGeneres, and now supervillains—she’s…	https://www.avclub.com/dakota-johnson-suits-up-as-madame-webb-in-first-trailer-1851023751	2023-11-15T15:02:00Z	Get ready to spend Valentines Day with another promising female superhero team-up. On the heels of the MCUs The Marvels, Sony has released a trailer for their upcoming Madame Web, starring Dakota Joh… [+1793 chars]
Screen Rant	"""Not Bigger Than History"": Killers Of The Flower Moon Star Responds To Criticism Over Movie's Focus"	Killers of the Flower Moon star Lily Gladstone responds to criticism over the film telling the Osage story through Ernest Burkhart's perspective.	https://screenrant.com/killers-of-the-flower-moon-star-criticism-response/	2023-11-17T16:33:17Z	"Summary
<ul><li> Gladstone acknowledges and validates the criticism of Killers of the Flower Moon for telling the story from a non-Osage perspective. </li><li> The film's perspective has sparked con… [+4137 chars]"
Rolling Stone	Robert De Niro Says His Awards Speech Was Edited, Blasts Trump as a ‘Charlatan’	Robert De Niro claimed his Gotham Awards speech was censored during Monday's live ceremony and criticized Donald Trump.	https://www.rollingstone.com/tv-movies/tv-movie-news/robert-de-niro-gotham-awards-speech-1234900245/	2023-11-28T04:40:30Z	"During the tribute to Martin Scorsese’s Apple film Killers of the Flower Moon at this year’s Gotham Awards, Robert De Niro claimed that his original speech had been edited. 
“I just want to say one … [+1808 chars]"
ComingSoon.net	Taylor Swift’s The Eras Tour Movie Reaches Impressive Box Office Milestone	Taylor Swift’s record-breaking concert film, Taylor Swift: The Eras Tour, has achieved yet another massive feat at the global box office. Following previous reports about the title’s box office earnings, AMC announced that the concert film has grossed more th…	https://www.comingsoon.net/movies/news/1417431-taylor-swifts-the-eras-tour-movie-reaches-impressive-box-office-milestone	2023-11-28T16:26:43Z	Taylor Swifts record-breaking concert film, Taylor Swift: The Eras Tour, has achieved yet another massive feat at the global box office. Following previous reports about the titles box office earning… [+1659 chars]
